2026-04-27 18:02:08.504 [ject for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Beginning a new generation of BLE_MCU against com.silabs.sdk.stack.sisdk:2025.12.2._694545511563987570 for [ProjectPostBuild] to null
2026-04-27 18:02:08.504 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: determining applicability of ProjectPostBuild to project BLE_MCU: 18:02:08.504681817
2026-04-27 18:02:08.504 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: Starting AC generation for ProjectPostBuild in project BLE_MCU: Mon Apr 27 18:02:08 GMT+08:00 2026
2026-04-27 18:02:08.512 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: AC content generated for ProjectPostBuild in project BLE_MCU. Elapsed time: 8ms
2026-04-27 18:02:08.622 [ject for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Beginning a new generation of BLE_MCU against com.silabs.sdk.stack.sisdk:2025.12.2._694545511563987570 for [ProjectPostBuild] to null
2026-04-27 18:02:08.622 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: determining applicability of ProjectPostBuild to project BLE_MCU: 18:02:08.622825921
2026-04-27 18:02:08.622 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: Starting AC generation for ProjectPostBuild in project BLE_MCU: Mon Apr 27 18:02:08 GMT+08:00 2026
2026-04-27 18:02:08.631 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: AC content generated for ProjectPostBuild in project BLE_MCU. Elapsed time: 9ms
2026-04-27 18:02:08.631 [ject for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: AC content generated for ucProject in project BLE_MCU. Elapsed time: 358ms
2026-04-27 18:02:08.632 [ generation task] WARN    com.silabs.java.utils.log.TopicLog - Generation: Starting project generation for BLE_MCU: Mon Apr 27 18:02:08 GMT+08:00 2026
2026-04-27 18:02:08.811 [ generation task] WARN    com.silabs.java.utils.log.TopicLog - Generation: Projects generated BLE_MCU.cmake
2026-04-27 18:02:08.811 [ generation task] WARN    com.silabs.java.utils.log.TopicLog - Generation: Project generation completed for BLE_MCU: Elapsed time: 179ms
2026-04-27 18:02:08.811 [igurable Project] WARN    com.silabs.java.utils.log.TopicLog - Total generation time: 964 ms

2026-04-27 18:02:08.811 [igurable Project] WARN    com.silabs.java.utils.log.TopicLog - Total generation time: 703 ms

2026-04-27 18:02:08.817 [igurable Project] WARN    com.silabs.java.utils.log.TopicLog - Beginning a new generation of BLE_MCU against com.silabs.sdk.stack.sisdk:2025.12.2._694545511563987570 for [apack_btConfig] to null
2026-04-27 18:02:08.817 [igurable Project] WARN    com.silabs.java.utils.log.TopicLog - Beginning a new generation of BLE_MCU against com.silabs.sdk.stack.sisdk:2025.12.2._694545511563987570 for [apack_btConfig] to null
2026-04-27 18:02:08.818 [nfig for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: determining applicability of apack_btConfig to project BLE_MCU: 18:02:08.818400225
2026-04-27 18:02:08.818 [nfig for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: Starting AC generation for apack_btConfig in project BLE_MCU: Mon Apr 27 18:02:08 GMT+08:00 2026
2026-04-27 18:02:08.821 [nfig for BLE_MCU] INFO   c.s.s.p.a.a.c.m.external.Executable - Setting apack Python (Internal) - /home/ty/.silabs/slt/installs/archive/v6-base-v6.1.4-238/SimplicityStudio-6/sts_back_end/developer/adapter_packs/python working directory to: /home/ty/.silabs/slt/installs/archive/v6-base-v6.1.4-238/SimplicityStudio-6/sts_back_end/developer/adapter_packs/python
2026-04-27 18:02:08.822 [Thread-481      ] INFO    com.silabs.java.utils.log.TopicLog - Process start:/home/ty/.silabs/slt/installs/archive/v6-base-v6.1.4-238/SimplicityStudio-6/sts_back_end/developer/adapter_packs/python/bin/python3 /home/ty/.silabs/slt/installs/archive/v6-base-v6.1.4-238/SimplicityStudio-6/sts_back_end/developer/adapter_packs/python/bin/python3 -E bgbuild.py /home/ty/SimplicityStudio/BLE_MCU/BLE_MCU/config/btconf -o /tmp/apack_btConfig10716154087774185720/output
2026-04-27 18:02:08.896 [Thread-481      ] INFO    com.silabs.java.utils.log.TopicLog - Process exit:/home/ty/.silabs/slt/installs/archive/v6-base-v6.1.4-238/SimplicityStudio-6/sts_back_end/developer/adapter_packs/python/bin/python3 /home/ty/.silabs/slt/installs/archive/v6-base-v6.1.4-238/SimplicityStudio-6/sts_back_end/developer/adapter_packs/python/bin/python3 -E bgbuild.py /home/ty/SimplicityStudio/BLE_MCU/BLE_MCU/config/btconf -o /tmp/apack_btConfig10716154087774185720/output => Exit code:0
2026-04-27 18:02:08.924 [nfig for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: AC content generated for apack_btConfig in project BLE_MCU. Elapsed time: 106ms
2026-04-27 18:02:08.925 [nfig for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: determining applicability of apack_btConfig to project BLE_MCU: 18:02:08.925161585
2026-04-27 18:02:08.925 [nfig for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: Starting AC generation for apack_btConfig in project BLE_MCU: Mon Apr 27 18:02:08 GMT+08:00 2026
2026-04-27 18:02:08.933 [nfig for BLE_MCU] INFO   c.s.s.p.a.a.c.m.external.Executable - Setting apack Python (Internal) - /home/ty/.silabs/slt/installs/archive/v6-base-v6.1.4-238/SimplicityStudio-6/sts_back_end/developer/adapter_packs/python working directory to: /home/ty/.silabs/slt/installs/archive/v6-base-v6.1.4-238/SimplicityStudio-6/sts_back_end/developer/adapter_packs/python
2026-04-27 18:02:08.934 [Thread-482      ] INFO    com.silabs.java.utils.log.TopicLog - Process start:/home/ty/.silabs/slt/installs/archive/v6-base-v6.1.4-238/SimplicityStudio-6/sts_back_end/developer/adapter_packs/python/bin/python3 /home/ty/.silabs/slt/installs/archive/v6-base-v6.1.4-238/SimplicityStudio-6/sts_back_end/developer/adapter_packs/python/bin/python3 -E bgbuild.py /home/ty/SimplicityStudio/BLE_MCU/BLE_MCU/config/btconf -o /tmp/apack_btConfig5279549748314288042/output
2026-04-27 18:02:09.016 [Thread-482      ] INFO    com.silabs.java.utils.log.TopicLog - Process exit:/home/ty/.silabs/slt/installs/archive/v6-base-v6.1.4-238/SimplicityStudio-6/sts_back_end/developer/adapter_packs/python/bin/python3 /home/ty/.silabs/slt/installs/archive/v6-base-v6.1.4-238/SimplicityStudio-6/sts_back_end/developer/adapter_packs/python/bin/python3 -E bgbuild.py /home/ty/SimplicityStudio/BLE_MCU/BLE_MCU/config/btconf -o /tmp/apack_btConfig5279549748314288042/output => Exit code:0
2026-04-27 18:02:09.037 [nfig for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: AC content generated for apack_btConfig in project BLE_MCU. Elapsed time: 112ms
2026-04-27 18:02:09.037 [ generation task] WARN    com.silabs.java.utils.log.TopicLog - Generation: Starting project generation for BLE_MCU: Mon Apr 27 18:02:09 GMT+08:00 2026
2026-04-27 18:02:09.201 [ generation task] WARN    com.silabs.java.utils.log.TopicLog - Generation: Projects generated BLE_MCU.cmake
2026-04-27 18:02:09.201 [ generation task] WARN    com.silabs.java.utils.log.TopicLog - Generation: Project generation completed for BLE_MCU: Elapsed time: 164ms
2026-04-27 18:02:09.201 [igurable Project] WARN    com.silabs.java.utils.log.TopicLog - Total generation time: 384 ms

2026-04-27 18:02:09.201 [igurable Project] WARN    com.silabs.java.utils.log.TopicLog - Total generation time: 383 ms

2026-04-27 18:02:09.201 [ generation task] WARN    com.silabs.java.utils.log.TopicLog - Generation: Starting project generation for BLE_MCU: Mon Apr 27 18:02:09 GMT+08:00 2026
2026-04-27 18:02:09.350 [ generation task] WARN    com.silabs.java.utils.log.TopicLog - Generation: Projects generated BLE_MCU.cmake
2026-04-27 18:02:09.350 [ generation task] WARN    com.silabs.java.utils.log.TopicLog - Generation: Project generation completed for BLE_MCU: Elapsed time: 148ms
2026-04-27 18:02:10.253 [tp954928973-6265] WARN    com.silabs.java.utils.log.TopicLog - Saving project: BLE_MCU
2026-04-27 18:02:10.254 [tp954928973-6265] WARN    com.silabs.java.utils.log.TopicLog - Project Saved!: BLE_MCU
2026-04-27 18:02:10.255 [igurable Project] WARN    com.silabs.java.utils.log.TopicLog - Beginning a new generation of BLE_MCU against com.silabs.sdk.stack.sisdk:2025.12.2._694545511563987570 for [ucProject] to null
2026-04-27 18:02:10.255 [ject for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: determining applicability of ucProject to project BLE_MCU: 18:02:10.255922953
2026-04-27 18:02:10.255 [ject for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: Starting AC generation for ucProject in project BLE_MCU: Mon Apr 27 18:02:10 GMT+08:00 2026
2026-04-27 18:02:10.371 [ject for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Beginning a new generation of BLE_MCU against com.silabs.sdk.stack.sisdk:2025.12.2._694545511563987570 for [ProjectPostBuild] to null
2026-04-27 18:02:10.371 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: determining applicability of ProjectPostBuild to project BLE_MCU: 18:02:10.371475305
2026-04-27 18:02:10.371 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: Starting AC generation for ProjectPostBuild in project BLE_MCU: Mon Apr 27 18:02:10 GMT+08:00 2026
2026-04-27 18:02:10.379 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: AC content generated for ProjectPostBuild in project BLE_MCU. Elapsed time: 8ms
2026-04-27 18:02:10.473 [tp954928973-6079] WARN    com.silabs.java.utils.log.TopicLog - Saving project: BLE_MCU
2026-04-27 18:02:10.474 [tp954928973-6079] WARN    com.silabs.java.utils.log.TopicLog - Project Saved!: BLE_MCU
2026-04-27 18:02:10.475 [igurable Project] WARN    com.silabs.java.utils.log.TopicLog - Beginning a new generation of BLE_MCU against com.silabs.sdk.stack.sisdk:2025.12.2._694545511563987570 for [ucProject] to null
2026-04-27 18:02:10.491 [ject for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Beginning a new generation of BLE_MCU against com.silabs.sdk.stack.sisdk:2025.12.2._694545511563987570 for [ProjectPostBuild] to null
2026-04-27 18:02:10.491 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: determining applicability of ProjectPostBuild to project BLE_MCU: 18:02:10.491801065
2026-04-27 18:02:10.491 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: Starting AC generation for ProjectPostBuild in project BLE_MCU: Mon Apr 27 18:02:10 GMT+08:00 2026
2026-04-27 18:02:10.500 [uild for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Generation: AC content generated for ProjectPostBuild in project BLE_MCU. Elapsed time: 8ms
2026-04-27 18:02:10.614 [ject for BLE_MCU] WARN    com.silabs.java.utils.log.TopicLog - Beginning a new generation of BLE_MCU against com.silabs.sdk.stack.sisdk:2025.12.2._694545511563987570 for [ProjectPostBuild] to null
